line_cd,company_cd,line_name,line_name_k,line_name_h,line_color_c,line_color_t,line_type,lon,lat,zoom,e_status,e_sort
11108,1,花咲線,ハナサキセン,JR根室本線(釧路～根室),,,,145.0642882,43.12755462,9,0,11108
11109,1,JR千歳線,チトセセン,JR千歳線,,,,141.5675688,42.88585087,10,0,11109
11110,1,JR石勝線,セキショウセン,JR石勝線,,,,142.1208103,42.97760967,9,0,11110
11111,1,JR日高本線,ヒダカホンセン,JR日高本線,,,,142.1892282,42.43948998,9,0,11111
11112,1,JR札沼線,サッショウセン,JR札沼線,,,,141.6575101,43.33044878,10,0,11112
11113,1,JR留萌本線,ルモイホンセン,JR留萌本線,,,,141.763792,43.84733117,10,2,11113
11114,1,JR富良野線,フラノセン,JR富良野線,,,,142.4293334,43.60983839,10,0,11114
11115,1,JR宗谷本線,ソウヤホンセン,JR宗谷本線,,,,142.225614,44.6587297,8,0,11115
11116,1,JR石北本線,セキホクホンセン,JR石北本線,,,,143.3629461,43.9613877,8,0,11116
11117,1,JR釧網本線,センモウホンセン,JR釧網本線,,,,144.4337656,43.52373901,9,0,11117
11118,1,JR海峡線,カイキョウセン,JR海峡線,,,,140.329047,41.36657457,9,0,11118
11119,1,JR江差線,エサシセン,JR江差線,,,,140.4168208,41.7753819,10,2,11119
11201,2,JR東北本線(八戸～青森),トウホクホンセン,JR東北本線(八戸～青森),,,,141.1472278,40.69791852,10,2,11201
11202,2,JR奥羽本線(新庄～青森),オウウホンセン,JR奥羽本線(新庄～青森),,,,140.4427173,39.92227066,8,0,11202
11231,2,JR東北本線(黒磯～利府・盛岡),トウホクホンセン,JR東北本線(黒磯～利府・盛岡),,,,140.8981249,38.46142404,8,0,11202
11203,2,はまなすベイライン大湊線,ハマナスベイラインオオミナトセン,JR大湊線,,,,141.2341889,41.07704833,10,0,11203
11204,2,JR五能線,ゴノウセン,JR五能線,,,,140.1536,40.62248824,9,0,11204
11205,2,JR津軽線,ツガルセン,JR津軽線,,,,140.6379643,40.99724898,10,0,11205
11206,2,JR八戸線,ハチノヘセン,JR八戸線,,,,141.7019344,40.40264308,10,0,11206
11207,2,JR岩泉線,イワイズミセン,JR岩泉線,,,,141.7110907,39.75256666,11,2,11207
11208,2,ドラゴンレール大船渡線,ドラゴンレールオオフナトセン,JR大船渡線,,,,141.4724298,38.96164069,10,0,11208
11209,2,銀河ドリームライン釜石線,ギンガドリームラインカマイシセン,JR釜石線,,,,141.5279124,39.32636455,10,0,11209
11210,2,JR北上線,キタカミセン,JR北上線,,,,140.8466239,39.30471879,10,0,11210
11211,2,JR田沢湖線,タザワコセン,JR田沢湖線,,,,140.7685672,39.6934485,10,0,11211
11212,2,十和田八幡平四季彩ライン,トワダハチマンタイシキサイライン,JR花輪線,,,,140.8453488,40.13373143,10,0,11212
11213,2,JR山田線,ヤマダセン,JR山田線,,,,141.6667874,39.59692922,9,0,11213
11214,2,JR羽越本線,ウエツホンセン,JR羽越本線,,,,139.7617803,38.73294117,8,0,11214
11215,2,JR男鹿線,オガセン,JR男鹿線,,,,139.958679,39.89239988,11,0,11215
11216,2,山形線,ヤマガタセン,JR奥羽本線(福島～新庄),,,,140.2833537,38.30771536,9,0,11216
11217,2,JR仙山線,センザンセン,JR仙山線,,,,140.5996186,38.31470035,10,0,11217
11218,2,フルーツライン左沢線,フルーツラインアテラザワセン,JR左沢線,,,,140.2808095,38.33565073,12,0,11218
11219,2,JR米坂線,ヨネサカセン,JR米坂線,,,,139.7703569,38.04498397,10,0,11219
11220,2,奥の細道最上川ライン,オクノホソミチモガミガワライン,JR陸羽西線,,,,140.0961846,38.75534124,10,0,11220
11221,2,奥の細道湯けむりライン,オクノホソミチユケムリライン,JR陸羽東線,,,,140.6813043,38.73003972,10,0,11221
11222,2,JR仙石線,センセキセン,JR仙石線,,,,141.0726418,38.36634216,11,0,11222
11223,2,JR石巻線,イシノマキセン,JR石巻線,,,,141.2522992,38.48686849,11,0,11223
11224,2,JR気仙沼線,ケセンヌマセン,JR気仙沼線,,,,141.4644576,38.69617975,10,0,11224
11225,2,JR磐越西線(郡山～会津若松),バンエツサイセン,JR磐越西線(郡山～会津若松),,,,140.1307905,37.51773393,10,0,11225
11226,2,森と水とロマンの鉄道,モリトミズトロマンノテツドウ,JR磐越西線,,,,139.121445,37.800383,9,0,11226
11227,2,JR只見線,タダミセン,JR只見線,,,,139.4478074,37.39176462,9,0,11227
11228,2,ゆうゆうあぶくまライン,ユウユウアブクマライン,JR磐越東線,,,,140.6426123,37.26977724,10,0,11228
11229,2,JR常磐線(取手～いわき),ジョウバンセン,JR常磐線(取手～いわき),,,,140.5188744,36.51900406,9,0,11229
11230,2,JR常磐線(いわき～仙台),ジョウバンセン,JR常磐線(いわき～仙台),,,,140.9334199,37.66155605,9,0,11230
11301,2,JR東海道本線(東京～熱海),トウカイドウホンセン,JR東海道本線(東京～熱海),,,,139.4302441,35.39507962,10,0,11301
11302,2,JR山手線,ヤマノテセン,JR山手線,,,,139.7352228,35.69302731,12,0,11302
11303,2,JR南武線,ナンブセン,JR南武線,,,,139.5621831,35.62126802,11,0,11303
11304,2,JR鶴見線,ツルミセン,JR鶴見線,,,,139.6973422,35.50322702,13,0,11304
11305,2,JR武蔵野線,ムサシノセン,JR武蔵野線,,,,139.7051131,35.80257708,10,0,11305
11306,2,JR横浜線,ヨコハマセン,JR横浜線,,,,139.4711185,35.56100411,11,0,11306
11307,2,JR根岸線,ネギシセン,JR根岸線,,,,139.5986788,35.41484559,12,0,11307
11308,2,JR横須賀線,ヨコスカセン,JR横須賀線,,,,139.6476186,35.48340539,10,0,11308
11309,2,JR相模線,サガミセン,JR相模線,,,,139.3678017,35.48317493,11,0,11309
11311,2,JR中央本線(東京～塩尻),チュウオウホンセン,JR中央本線(東京～塩尻),,,,138.617358,35.77036734,9,0,11311
11312,2,JR中央線(快速),チュウオウセン,JR中央線(快速),,,,139.5379885,35.70017042,10,0,11312
11313,2,JR中央・総武線,チュウオウ・ソウブセン,JR中央・総武緩行線,,,,139.8371552,35.70164136,10,0,11313
11314,2,JR総武本線,ソウブホンセン,JR総武本線,,,,140.2546612,35.68790263,9,0,11314
11315,2,JR青梅線,オウメセン,JR青梅線,,,,139.2400414,35.78257265,11,0,11315
11316,2,JR五日市線,イツカイチセン,JR五日市線,,,,139.2916574,35.72583044,12,0,11316
11317,2,JR八高線(八王子～高麗川),ハチコウセン,JR八高線(八王子～高麗川),,,,139.3329938,35.78050242,11,0,11317
11318,2,JR八高線(高麗川～高崎),ハチコウセン,JR八高線(高麗川～高崎),,,,139.1796533,36.12104162,10,0,11318
11319,2,宇都宮線,ウツノミヤセン,JR東北本線,,,,139.846403,36.37943924,9,0,11319
11320,2,JR常磐線(上野～取手),ジョウバンセン,JR常磐線(上野～取手),,,,139.9238125,35.81971933,11,0,11320
11321,2,JR埼京線,サイキョウセン,JR埼京線,,,,139.6182015,35.80319582,11,0,11321
11322,2,JR川越線,カワゴエセン,JR川越線,,,,139.4693426,35.90961046,11,0,11322
11323,2,JR高崎線,タカサキセン,JR高崎線,,,,139.4521807,36.09573564,9,0,11323
11324,2,JR外房線,ソトボウセン,JR外房線,,,,140.2798303,35.34873907,10,0,11324
11325,2,JR内房線,ウチボウセン,JR内房線,,,,139.9480808,35.29328827,9,0,11325
11326,2,JR京葉線,ケイヨウセン,JR京葉線,,,,139.93611,35.64364962,11,0,11326
11327,2,JR成田線,ナリタセン,JR成田線,,,,140.3723884,35.86276466,10,0,11327
11328,2,JR成田エクスプレス,ナリタエクスプレス,JR成田エクスプレス,,,,139.7571982,35.69212092,9,0,11328
11329,2,JR鹿島線,カシマセン,JR鹿島線,,,,140.5646973,35.94268442,12,0,11329
11330,2,JR久留里線,クルリセン,JR久留里線,,,,140.0464997,35.3506777,11,0,11330
11331,2,JR東金線,トウガネセン,JR東金線,,,,140.3680586,35.56232866,12,0,11331
11332,2,JR京浜東北線,ケイヒントウホクセン,JR京浜東北線,,,,139.6425121,35.63929556,10,0,11332
11333,2,JR湘南新宿ライン,ショウナンシンジュクライン,JR湘南新宿ライン,,,,139.6229437,35.65739974,10,0,11333
11343,2,上野東京ライン,ウエノトウキョウライン,上野東京ライン,,,,139.7721004,35.69745581,14,0,11333
11334,2,JR烏山線,カラスヤマセン,JR烏山線,,,,140.0649785,36.65874003,12,0,11334
11335,2,JR吾妻線,アガツマセン,JR吾妻線,,,,138.7913036,36.55204126,10,0,11335
11337,2,JR信越本線,シンエツホンセン,JR信越本線,,,,138.8807751,36.33038234,11,0,11337
11338,2,JR水郡線,スイグンセン,JR水郡線,,,,140.4621536,36.92204743,9,0,11338
11339,2,JR水戸線,ミトセン,JR水戸線,,,,140.0513207,36.33356509,10,0,11339
11340,2,JR日光線,ニッコウセン,JR日光線,,,,139.7529407,36.63614345,11,0,11340
11341,2,JR両毛線,リョウモウセン,JR両毛線,,,,139.38788,36.35677395,10,0,11341
11342,2,JR上越線,ジョウエツセン,JR上越線,,,,138.8924192,36.9153866,9,0,11342
11344,100,ディズニーリゾートライン,ディズニーリゾートライン,ディズニーリゾートライン,,,,139.764204,35.68267721,10,0,11343
11401,2,小海線,コウミセン,JR小海線,,,,138.422021,36.326337,10,0,11401
11402,3,JR身延線,ミノブセン,JR身延線,,,,138.532397,35.39216324,10,0,11402
11403,2,JR信越本線(篠ノ井～長野),シンエツホンセン,JR信越本線(篠ノ井～長野),,,,138.1598163,36.60859597,12,0,11403
11404,2,JR信越本線(直江津～新潟),シンエツホンセン,JR信越本線(直江津～新潟),,,,138.7595452,37.51108174,9,0,11404
11405,4,JR北陸本線(富山～直江津),ホクリクホンセン,JR北陸本線(富山～直江津),,,,137.7185006,37.01500893,9,2,11405
11406,2,JR白新線,ハクシンセン,JR白新線,,,,139.1904713,37.92400721,11,0,11406
11407,2,JR飯山線,イイヤマセン,JR飯山線,,,,138.5417323,36.98446011,10,0,11407
11408,2,JR越後線,エチゴセン,JR越後線,,,,138.8340003,37.62674857,10,0,11408
11409,2,北アルプス線,キタアルプスセン,JR大糸線,,,,137.8735087,36.67612787,9,0,11409
11410,2,JR弥彦線,ヤヒコセン,JR弥彦線,,,,138.9044353,37.67331836,12,0,11410
11411,3,JR中央本線(名古屋～塩尻),チュウオウホンセン,JR中央本線(名古屋～塩尻),,,,137.468492,35.6624711,9,0,11411
11412,2,JR篠ノ井線,シノノイセン,JR篠ノ井線,,,,138.0172774,36.38422475,10,0,11412
11413,3,JR飯田線(豊橋～天竜峡),イイダセン,JR飯田線(豊橋～天竜峡),,,,137.6689494,35.12564791,10,0,11413
11414,3,JR飯田線(天竜峡～辰野),イイダセン,JR飯田線(天竜峡～辰野),,,,137.8986353,35.75990218,10,0,11414
11415,4,JR北陸本線(米原～敦賀),ホクリクホンセン,JR北陸本線(米原～敦賀),,,,136.4425104,36.33393306,8,0,11415
11416,3,JR高山本線,タカヤマホンセン,JR高山本線,,,,137.1437387,36.03506978,9,0,11416
11417,4,JR城端線,ジョウハナセン,JR城端線,,,,136.9630801,36.64686113,11,0,11417
11418,4,JR氷見線,ヒミセン,JR氷見線,,,,137.016787,36.80602651,12,0,11418
11419,4,JR七尾線,ナナオセン,JR七尾線,,,,136.7916271,36.8807224,10,0,11419
11420,4,敦賀港線,ツルガコウセン,JR北陸本線(敦賀～敦賀港),,,,136.0755333,35.65634921,14,2,11420
11421,4,九頭竜線,クズリュウセン,JR越美北線,,,,136.4413114,35.99858409,10,0,11421
11422,4,JR小浜線,オバマセン,JR小浜線,,,,135.7418184,35.53015548,10,0,11422
11501,3,JR東海道本線(熱海～浜松),トウカイドウホンセン,JR東海道本線(熱海～浜松),,,,138.3888098,34.94909732,9,0,11501
11502,3,JR東海道本線(浜松～岐阜),トウカイドウホンセン,JR東海道本線(浜松～岐阜),,,,137.129185,35.04642183,9,0,11502
11503,3,JR東海道本線(岐阜～美濃赤坂・米原),トウカイドウホンセン,JR東海道本線(岐阜～美濃赤坂・米原),,,,136.5281548,35.36362897,10,0,11503
11504,2,JR伊東線,イトウセン,JR伊東線,,,,139.0696551,35.04759233,12,0,11504
11505,3,JR御殿場線,ゴテンバセン,JR御殿場線,,,,139.0331425,35.22246077,11,0,11505
11506,3,JR武豊線,タケトヨセン,JR武豊線,,,,136.9586884,34.93257927,12,0,11506
11507,3,JR太多線,タイタセン,JR太多線,,,,137.0625923,35.39115836,12,0,11507
11508,3,JR関西本線(名古屋～亀山),カンサイホンセン,JR関西本線(名古屋～亀山),,,,136.6393149,35.03333933,10,0,11508
11509,4,JR関西本線(亀山～加茂),カンサイホンセン,JR関西本線(亀山～加茂),,,,136.1749894,34.80143442,10,0,11509
11510,3,JR紀勢本線,キセイホンセン,JR紀勢本線,,,,136.2872619,34.32154395,9,0,11510
11511,4,JR草津線,クサツセン,JR草津線,,,,136.1045246,34.96458574,11,0,11511
11512,3,JR参宮線,サングウセン,JR参宮線,,,,136.6987801,34.495826,11,0,11512
11513,3,JR名松線,メイショウセン,JR名松線,,,,136.3881753,34.60028532,11,0,11513
11601,4,琵琶湖線,ビワコセン,JR東海道本線(米原～京都),,,,136.0951369,35.11930883,10,0,11601
11602,4,JR京都線,キョウトセン,JR東海道本線(京都～大阪),,,,135.495188,34.702398,11,0,11602
11603,4,JR神戸線(大阪～神戸),コウベセン,JR東海道本線(大阪～神戸),,,,135.3347285,34.72876179,11,0,11603
11605,4,JR湖西線,コセイセン,JR湖西線,,,,135.9648814,35.24644583,10,0,11605
11607,4,大和路線,ヤマトジセン,JR関西本線(加茂～ＪＲ難波),,,,135.6774159,34.65043379,11,0,11607
11608,4,JR神戸線(神戸～姫路),コウベセン,JR山陽本線(神戸～姫路),,,,134.9283387,34.71997139,10,0,11608
11609,4,JR山陽本線(姫路～岡山),サンヨウホンセン,JR山陽本線(姫路～岡山),,,,134.2462107,34.81352156,10,0,11609
11610,4,JR山陽本線(岡山～三原),サンヨウホンセン,JR山陽本線(岡山～三原),,,,133.5637577,34.5230414,10,0,11610
11611,4,JR山陽本線(三原～岩国),サンヨウホンセン,JR山陽本線(三原～岩国),,,,132.5497997,34.3865014,10,0,11611
11612,4,JR山陽本線(岩国～門司),サンヨウホンセン,JR山陽本線(岩国～門司),,,,131.6063428,34.07166445,9,0,11612
11613,4,JR山陽本線(兵庫～和田岬),サンヨウホンセン,JR山陽本線(兵庫～和田岬),,,,135.167942,34.66577552,14,0,11613
11614,4,嵯峨野線,サガノセン,JR山陰本線(京都～園部),,,,135.6041557,35.05307104,11,0,11614
11615,4,JR山陰本線(園部～豊岡),サンインホンセン,JR山陰本線(園部～豊岡),,,,135.0886844,35.32609457,10,0,11615
11616,4,JR山陰本線(豊岡～米子),サンインホンセン,JR山陰本線(豊岡～米子),,,,134.0209022,35.5218286,9,0,11616
11617,4,学研都市線,ガッケントシセン,JR片町線,,,,135.6901646,34.7599984,11,0,11617
11618,4,奈良線,ナラセン,奈良線,,,,135.7864342,34.83402323,11,0,11618
11622,4,JR舞鶴線,マイヅルセン,JR舞鶴線,,,,135.2793138,35.36774424,11,0,11622
11623,4,大阪環状線,オオサカカンジョウセン,大阪環状線,,,,135.5021892,34.68154143,13,0,11623
11624,4,JRゆめ咲線,ユメサキセン,JR桜島線,,,,135.4474452,34.67404443,13,0,11624
11625,4,JR東西線,トウザイセン,JR東西線,,,,135.4729665,34.70792548,13,0,11625
11626,4,阪和線(天王寺～和歌山),ハンワセン,阪和線(天王寺～和歌山),,,,135.4011938,34.46154098,10,0,11626
11627,4,羽衣線,ハゴロモセン,阪和線(鳳～東羽衣),,,,135.4495774,34.53405857,14,0,11627
11628,4,JR関西空港線,カンサイクウコウセン,JR関西空港線,,,,135.2888684,34.415185,12,0,11628
11629,4,JR宝塚線,タカラヅカセン,JR福知山線(新大阪～篠山口),,,,135.3444349,34.8698929,10,0,11629
11630,4,福知山線(篠山口～福知山),フクチヤマセン,福知山線(篠山口～福知山),,,,135.105576,35.16077077,11,0,11630
11631,4,JR赤穂線,アコウセン,JR赤穂線,,,,134.1974932,34.74727448,10,0,11631
11632,4,JR加古川線,カコガワセン,JR加古川線,,,,134.9525226,34.9370801,11,0,11632
11633,4,JR姫新線(姫路～佐用),キシンセン,JR姫新線(姫路～佐用),,,,134.5265431,34.9258616,11,0,11633
11634,4,JR姫新線(佐用～新見),キシンセン,JR姫新線(佐用～新見),,,,133.8805395,35.0502408,10,0,11634
11635,4,JR播但線,バンタンセン,JR播但線,,,,134.7640542,35.11319296,10,0,11635
11636,4,JR和歌山線,ワカヤマセン,JR和歌山線,,,,135.5570816,34.36363683,10,0,11636
11637,4,万葉まほろば線,マンヨウマホロバセン,桜井線,,,,135.8007123,34.58068955,12,0,11637
11639,4,きのくに線,キノクニセン,JR紀勢本線(新宮～和歌山),,,,135.4271755,33.83183628,9,0,11639
11640,4,紀勢本線(和歌山～和歌山市),キセイホンセン,紀勢本線(和歌山～和歌山市),,,,135.1783337,34.23803307,14,0,11640
11641,4,おおさか東線,オオサカヒガシセン,おおさか東線,,,,135.55,34.69,12,0,11641
11701,4,JR山陰本線(米子～益田),サンインホンセン,JR山陰本線(米子～益田),,,,132.5610675,35.20731024,9,0,11701
11702,4,JR山陰本線(益田～下関),サンインホンセン,JR山陰本線(益田～下関),,,,131.2726666,34.35940661,9,0,11702
11703,4,JR伯備線,ハクビセン,JR伯備線,,,,133.495623,35.05328908,9,0,11703
11704,4,JR因美線,インビセン,JR因美線,,,,134.1500156,35.26468997,10,0,11704
11705,4,JR境線,サカイセン,JR境線,,,,133.2625398,35.48805798,12,0,11705
11706,4,JR木次線,キスキセン,JR木次線,,,,133.0214796,35.19925146,11,0,11706
11707,4,JR三江線,サンコウセン,JR三江線,,,,132.5629828,34.94301166,10,2,11707
11708,4,JR山口線,ヤマグチセン,JR山口線,,,,131.4734848,34.34664277,10,0,11708
11709,4,JR宇野線,ウノセン,JR宇野線,,,,133.9131994,34.57584113,12,0,11709
11710,4,瀬戸大橋線,セトオオハシセン,JR本四備讃線,,,,133.80944,34.45427589,11,0,11710
11713,4,JR吉備線,キビセン,JR吉備線,,,,133.8272676,34.68115607,12,0,11713
11714,4,JR芸備線,ゲイビセン,JR芸備線,,,,132.9216429,34.77393016,9,0,11714
11715,4,JR津山線,ツヤマセン,JR津山線,,,,133.9227023,34.89119811,10,0,11715
11716,4,JR呉線,クレセン,JR呉線,,,,132.7797393,34.38727696,10,0,11716
11717,4,JR可部線,カベセン,JR可部線,,,,132.4778146,34.45822254,12,0,11717
11720,4,JR福塩線,フクエンセン,JR福塩線,,,,133.1297841,34.63826629,10,0,11720
11721,4,JR宇部線,ウベセン,JR宇部線,,,,131.3026758,34.01935295,11,0,11721
11722,4,JR美祢線,ミネセン,JR美祢線,,,,131.1806931,34.23328102,11,0,11722
11723,4,JR小野田線,オノダセン,JR小野田線,,,,131.1936861,33.97855545,12,0,11723
11724,4,JR岩徳線,ガントクセン,JR岩徳線,,,,132.0569761,34.09347763,11,0,11724
11801,5,JR土讃線,ドサンセン,JR土讃線,,,,133.5702573,33.76640013,9,0,11801
11802,5,JR高徳線,コウトクセン,JR高徳線,,,,134.310584,34.24954113,10,0,11802
11803,5,よしの川ブルーライン,ヨシノガワブルーライン,JR徳島線,,,,134.1518085,34.04872233,10,0,11803
11804,5,JR牟岐線,ムギセン,JR牟岐線,,,,134.5084229,33.83996475,10,0,11804
11805,5,JR鳴門線,ナルトセン,JR鳴門線,,,,134.5684284,34.16377798,13,0,11805
11806,5,JR予讃線,ヨサンセン,JR予讃線,,,,133.3626593,34.19299177,9,0,11806
11807,5,JR予讃・内子線,ヨサン・ウチコセン,JR予讃・内子線,,,,132.5895168,33.55703537,10,0,11807
11808,5,しまんとグリーンライン,シマントグリーンライン,JR予土線,,,,132.8223845,33.23287192,10,0,11808
11901,4,JR博多南線,ハカタミナミセン,JR博多南線,,,,130.4288095,33.56485012,12,0,11901
11902,6,JR鹿児島本線(下関・門司港～博多),カゴシマホンセン,JR鹿児島本線(下関・門司港～博多),,,,130.6285375,33.83670542,10,0,11902
11903,6,JR鹿児島本線(博多～八代),カゴシマホンセン,JR鹿児島本線(博多～八代),,,,130.5063075,33.09244602,9,0,11903
11904,6,JR鹿児島本線(川内～鹿児島),カゴシマホンセン,JR鹿児島本線(川内～鹿児島),,,,130.363502,31.65334826,10,0,11904
11905,6,JR長崎本線(鳥栖～長崎),ナガサキホンセン,JR長崎本線(鳥栖～長崎),,,,130.1521506,33.12136017,10,0,11905
11906,6,JR日豊本線(門司港～佐伯),ニッポウホンセン,JR日豊本線(門司港～佐伯),,,,131.3035516,33.55493531,9,0,11906
11907,6,JR日豊本線(佐伯～鹿児島中央),ニッポウホンセン,JR日豊本線(佐伯～鹿児島中央),,,,131.447211,32.21697834,8,0,11907
11908,6,福北ゆたか線,フクホクユタカセン,JR篠栗線,,,,130.5327032,33.61990987,11,0,11908
11909,6,JR筑肥線(姪浜～西唐津),チクヒセン,JR筑肥線(姪浜～西唐津),,,,130.1294128,33.51164937,11,0,11909
11910,6,若松線,ワカマツセン,JR筑豊本線(若松～折尾),,,,130.7521278,33.88822023,12,0,11910
11911,6,福北ゆたか線(折尾～桂川),フクホクユタカセン,JR筑豊本線(折尾～桂川),,,,130.7061142,33.73450091,11,0,11911
11912,6,原田線,ハルダセン,JR筑豊本線(桂川～原田),,,,130.6091322,33.5241644,12,0,11912
11913,6,ゆふ高原線,ユフコウゲンセン,JR久大本線,,,,131.0359949,33.2620623,9,0,11913
11914,6,JR日田彦山線,ヒタヒコサンセン,JR日田彦山線,,,,130.8729992,33.73,11,0,11914
11915,6,JR後藤寺線,ゴトウジセン,JR後藤寺線,,,,130.7431474,33.63894268,12,0,11915
11916,6,海の中道線,ウミノナカミチセン,JR香椎線(西戸崎～香椎),,,,130.4041931,33.67670942,12,0,11916
11917,6,JR香椎線(香椎～宇美),カシイセン,JR香椎線(香椎～宇美),,,,130.4729008,33.61956046,12,0,11917
11918,6,JR佐世保線,サセボセン,JR佐世保線,,,,129.9399703,33.18811566,11,0,11918
11920,6,JR筑肥線(西唐津～伊万里),チクヒセン,JR筑肥線(西唐津～伊万里),,,,129.9397357,33.37129522,11,0,11920
11921,6,JR唐津線,カラツセン,JR唐津線,,,,130.0774047,33.3354427,11,0,11921
11922,6,JR大村線,オオムラセン,JR大村線,,,,129.9214241,33.00169785,11,0,11922
11923,6,豊肥本線,ホウヒホンセン,JR豊肥本線,,,,131.2621302,33.01712664,9,0,11923
11924,6,三角線（あまくさみすみ線）,アマクサミスミセン,JR三角線,,,,130.5892981,32.6914496,11,0,11924
11925,6,えびの高原線(八代～吉松),エビノコウゲンセン,JR肥薩線(八代～吉松),,,,130.6833119,32.28699732,10,0,11925
11926,6,JR肥薩線(吉松～隼人),ヒサツセン,JR肥薩線(吉松～隼人),,,,130.7067465,31.89098429,11,0,11926
11927,6,JR宮崎空港線,ミヤザキクウコウセン,JR宮崎空港線,,,,131.4327623,31.89534315,13,0,11927
11928,6,JR日南線,ニチナンセン,JR日南線,,,,131.3626539,31.68357655,10,0,11928
11929,6,えびの高原線,エビノコウゲンセン,JR吉都線,,,,130.9564017,31.91724391,10,0,11929
11930,6,JR指宿枕崎線,イブスキマクラザキセン,JR指宿枕崎線,,,,130.5034109,31.35999955,10,0,11930
21001,11,東武東上線,トウブトウジョウセン,東武東上線,,,,139.4596379,35.92121867,10,0,21001
21002,11,東武伊勢崎線,トウブイセサキセン,東武伊勢崎線,,,,139.4993413,36.05676642,10,0,21002
21003,11,東武日光線,トウブニッコウセン,東武日光線,,,,139.6911602,36.4457974,9,0,21003
21004,11,東武アーバンパークライン（東武野田線）,トウブアーバンパークライントウブノダセン,東武野田線,,,,139.8919126,35.88791322,10,0,21004
21005,11,東武亀戸線,トウブカメイドセン,東武亀戸線,,,,139.8243468,35.70795152,14,0,21005
21006,11,東武大師線,トウブダイシセン,東武大師線,,,,139.7853229,35.77906123,15,0,21006
21007,11,東武越生線,トウブオゴセセン,東武越生線,,,,139.3426227,35.95321877,12,0,21007
21008,11,東武宇都宮線,トウブウツノミヤセン,東武宇都宮線,,,,139.8178944,36.48379029,12,0,21008
21009,11,東武鬼怒川線,トウブキヌガワセン,東武鬼怒川線,,,,139.7071736,36.79812975,12,0,21009
21010,11,東武佐野線,トウブサノセン,東武佐野線,,,,139.5680586,36.3288676,12,0,21010
21011,11,東武桐生線,トウブキリュウセン,東武桐生線,,,,139.3234126,36.36939671,12,0,21011
21012,11,東武小泉線,トウブコイズミセン,東武小泉線,,,,139.450654,36.25658593,12,0,21012
22001,12,西武池袋線,セイブイケブクロセン,西武池袋線,,,,139.4678929,35.79126174,10,0,22001
22002,12,西武秩父線,セイブチチブセン,西武秩父線,,,,139.2047331,35.9217046,11,0,22002
22003,12,西武有楽町線,セイブユウラクチョウセン,西武有楽町線,,,,139.667595,35.740404,14,0,22003
22004,12,西武豊島線,セイブトシマセン,西武豊島線,,,,139.6515168,35.74004317,15,0,22004
22005,12,西武狭山線,セイブサヤマセン,西武狭山線,,,,139.4392487,35.77960247,14,0,22005
22006,12,レオライナー,レオライナー,西武山口線,,,,139.4314444,35.77056761,14,0,22006
22007,12,西武新宿線,セイブシンジュクセン,西武新宿線,,,,139.5308649,35.77694687,11,0,22007
22008,12,西武拝島線,セイブハイジマセン,西武拝島線,,,,139.4131356,35.7328647,12,0,22008
